,Player,Player.1,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating,Goals,Assists,SpG,KeyP,Fouled,Off,Disp,UnsTch,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB
4,"85Mason MountChelsea, 23, M(CLR)","Mason Mount Chelsea, 23, M(CLR)",32(5),2875,1.0,0.4,1.0,-,0.5,0.9,0.1,-,6.91,7,5,2.1,1.4,1.0,0.1,1.4,2.2,5,1.4,33.5,85.7,0.9,0.7,0.1
5,"86Kurt ZoumaChelsea, 27, D(CR)","Kurt Zouma Chelsea, 27, D(CR)",25(3),2344,0.8,2.1,1.1,0.4,4.0,0.3,0.5,1,6.91,-,-,0.5,-,0.5,-,0.2,0.4,-,-,74.3,88.5,-,5.0,-
6,"87Etienne CapoueWatford, 33, D(C),M(CL)","Etienne Capoue Watford, 33, D(C),M(CL)",30,2632,2.5,2.3,1.9,-,1.9,1.6,0.4,-,6.91,-,3,0.6,0.7,1.3,-,0.9,0.6,3,0.7,47.8,81.3,0.3,3.7,0.1
7,"88Tammy AbrahamChelsea, 24, FW","Tammy Abraham Chelsea, 24, FW",25(9),2221,0.2,0.2,0.5,-,0.8,0.3,0.1,1,6.91,15,3,2.6,0.6,0.7,0.7,1.2,2.2,3,0.6,12.0,66.8,0.1,0.2,-
8,"89Kyle WalkerMan City, 31, D(CR),M(R)","Kyle Walker Man City, 31, D(CR),M(R)",28(1),2398,1.0,1.0,0.9,0.2,1.2,0.6,0.2,-,6.9,1,4,0.5,0.6,0.5,0.1,0.5,0.8,4,0.6,66.9,88.6,0.3,4.3,-
9,"90Reece JamesChelsea, 22, D(CR),DMC,M(R)","Reece James Chelsea, 22, D(CR),DMC,M(R)",16(8),1514,1.5,0.9,0.9,0.1,0.9,0.8,0.3,-,6.9,-,2,0.8,1,0.9,-,0.9,0.7,2,1,42.3,85.9,1.1,1.7,-
0,"71Ben ChilwellLeicester, 25, D(L),M(L)","Ben Chilwell Leicester, 25, D(L),M(L)",27,2376,1.6,1.0,1.1,0.2,2.0,1.1,0.2,-,6.96,3,3,0.6,1.3,1.1,-,0.8,1.9,3,1.3,61.3,78.3,0.7,2.0,-
1,"72Nathan RedmondSouthampton, 28, AM(CLR),FW","Nathan Redmond Southampton, 28, AM(CLR),FW",32,2771,1.5,0.5,0.7,-,0.3,1.1,0.1,-,6.96,4,4,1.8,1.2,1,0.2,1.6,2.3,4,1.2,31.9,73.7,0.2,1.2,-
2,"73Felipe AndersonWest Ham, 29, M(CLR),FW","Felipe Anderson West Ham, 29, M(CLR),FW",20(5),1508,1.8,0.9,0.7,-,0.4,1.4,-,-,6.96,1,4,0.9,1,1,0.1,1.2,1.9,4,1,35.8,78.8,0.4,1.7,0.1
3,"74Pablo MaríArsenal, 28, D(C)","Pablo Marí Arsenal, 28, D(C)",2,114,1.0,0.5,1.0,0.5,4.5,-,-,-,6.95,-,-,-,-,-,-,-,-,-,-,50.0,85.0,-,4.0,-
4,"75Mateo KovacicChelsea, 28, M(CL)","Mateo Kovacic Chelsea, 28, M(CL)",23(8),2073,2.0,0.7,0.6,-,0.5,1.3,-,-,6.94,1,3,0.7,0.9,1.2,-,0.9,1,3,0.9,60.3,89.7,-,3.0,0.1
5,"76Naby KeïtaLiverpool, 27, M(C)","Naby Keïta Liverpool, 27, M(C)",9(9),814,1.7,0.6,0.5,-,0.1,0.8,-,-,6.94,2,3,0.7,0.8,0.6,0.1,0.5,0.8,3,0.8,37.7,88.8,-,0.8,0.2
6,"77Shkodran MustafiArsenal, 30, D(CR)","Shkodran Mustafi Arsenal, 30, D(CR)",13(2),1206,1.1,1.2,0.9,0.3,4.7,0.4,0.4,-,6.94,-,1,0.7,0.2,0.2,-,0.1,0.3,1,0.2,56.3,81.9,0.1,3.2,-
7,"78John EganSheff Utd, 29, D(C)","John Egan Sheff Utd, 29, D(C)",36,3189,1.2,1.6,0.9,0.4,4.6,0.6,0.8,-,6.93,2,-,0.8,-,0.6,-,-,0.4,-,-,35.8,80.2,-,3.1,-
8,"79Jack O'ConnellSheff Utd, 28, D(C)","Jack O'Connell Sheff Utd, 28, D(C)",32(1),2915,0.7,1.3,0.6,0.4,4.4,0.3,0.5,-,6.93,-,1,0.4,0.5,0.5,0.1,0.3,0.6,1,0.5,47.2,73.5,0.3,3.8,-
9,"80Jordan AyewCrystal Palace, 30, AM(CLR),FW","Jordan Ayew Crystal Palace, 30, AM(CLR),FW",37,3162,1.3,0.4,1.6,-,0.5,0.9,0.1,-,6.93,9,2,1.6,0.8,2.8,0.2,2.6,3.1,2,0.8,22.0,81.3,-,0.5,0.1
0,"61John McGinnAston Villa, 27, M(C)","John McGinn Aston Villa, 27, M(C)",27(1),2318,1.9,0.9,1.3,-,0.5,1.5,-,-,7.0,3,3,2,1.3,2.4,-,1.8,1.5,3,1.3,25.4,81.4,0.5,2.9,-
1,"62Aymeric LaporteMan City, 27, D(CL)","Aymeric Laporte Man City, 27, D(CL)",14(1),1104,0.9,1.3,0.6,0.7,1.7,0.3,0.3,-,7.0,1,-,0.3,0.2,0.6,-,0.1,0.1,-,0.2,76.5,92.5,-,3.9,-
2,"63Japhet TangangaTottenham, 23, D(CR)","Japhet Tanganga Tottenham, 23, D(CR)",6,526,2.8,1.8,1.3,0.3,4.8,1.2,1,-,7.0,-,-,0.5,0.2,0.7,-,0.8,2.2,-,0.2,33.5,81.1,-,1.0,-
3,"64Jarrod BowenWest Ham, 25, AM(CLR),FW","Jarrod Bowen West Ham, 25, AM(CLR),FW",11(2),922,1.5,1.2,0.3,-,0.3,1,-,-,6.99,1,4,1.8,1.2,1.5,0.1,1.1,1.5,4,1.2,16.4,77.0,1.2,1.0,-
4,"65Matt DohertyWolves, 30, D(LR),M(LR)","Matt Doherty Wolves, 30, D(LR),M(LR)",32(4),2841,1.5,1.1,0.8,0.1,1.3,0.4,0.1,-,6.99,4,3,1,0.6,0.5,0.1,0.4,1.3,3,0.6,41.0,74.9,0.2,1.3,-
5,"66Hugo LlorisTottenham, 35, GK","Hugo Lloris Tottenham, 35, GK",21,1808,-,-,-,-,0.6,-,-,-,6.98,-,-,-,-,-,-,-,-,-,-,22.6,67.1,-,5.8,-
6,"67Wilfried ZahaCrystal Palace, 29, AM(LR),FW","Wilfried Zaha Crystal Palace, 29, AM(LR),FW",37(1),3280,1.1,0.5,1.3,-,0.1,1,0.1,-,6.98,4,3,1.6,0.9,3.2,0.4,3.9,3.4,3,0.9,28.8,81.1,0.5,0.7,-
7,"68Chris BashamSheff Utd, 33, D(CR),M(CR)","Chris Basham Sheff Utd, 33, D(CR),M(CR)",38,3255,2.2,2,0.7,0.3,4.4,0.9,0.4,-,6.98,-,1,0.2,0.3,0.8,0.1,0.2,0.9,1,0.3,34.6,74.7,0.2,1.8,-
8,"69Jonjo ShelveyNewcastle, 30, M(C)","Jonjo Shelvey Newcastle, 30, M(C)",25(1),2124,1.1,0.9,0.7,-,1.3,1.2,0.2,-,6.97,6,2,1.7,1.7,0.2,-,0.4,0.9,2,1.7,40.2,76.9,0.8,5.5,0.1
9,"70Lucas MouraTottenham, 29, AM(CLR),FW","Lucas Moura Tottenham, 29, AM(CLR),FW",25(10),2249,1.6,0.4,0.9,-,0.7,1.2,0.1,-,6.96,4,4,1.6,1,1.8,0.1,2.1,1.7,4,1,22.1,73.5,0.1,0.3,0.1
0,"51Dwight McNeilBurnley, 22, M(LR)","Dwight McNeil Burnley, 22, M(LR)",38,3345,1.2,0.8,0.8,-,0.7,1.3,0.2,-,7.06,2,6,1.3,1.4,1,-,1.7,1.5,6,1.4,27.1,79.1,1.8,1.5,-
1,"52Diego RicoBournemouth, 29, D(CL),M(L)","Diego Rico Bournemouth, 29, D(CL),M(L)",27,2336,2.3,3.1,0.7,0.2,2.2,1.1,0.3,-,7.06,-,4,0.4,1.2,0.8,0.1,0.8,1,4,1.2,40.2,67.3,1.6,2.1,0.1
2,"53Troy DeeneyWatford, 33, FW","Troy Deeney Watford, 33, FW",26(1),2234,0.7,0.4,1.4,-,1.0,0.9,-,-,7.05,10,2,1.7,1.1,1.3,0.4,1,1.9,2,1.1,26.3,54.2,-,0.3,-
3,"54Çaglar SöyüncüLeicester, 25, D(C)","Çaglar Söyüncü Leicester, 25, D(C)",34,3037,1.8,1.3,0.9,0.6,4.4,0.6,0.6,-,7.04,1,1,0.5,0.1,0.6,-,0.1,0.5,1,0.1,68.2,89.6,-,3.3,-
4,"55Bernardo SilvaMan City, 27, M(CLR),FW","Bernardo Silva Man City, 27, M(CLR),FW",23(11),2031,1.1,0.7,0.7,-,0.4,0.9,-,-,7.03,6,7,1.5,1.5,0.6,0.1,0.6,0.7,7,1.5,40.4,90.2,0.5,1.1,-
5,"56Pierre-Emerick AubameyangArsenal, 32, M(CLR),FW","Pierre-Emerick Aubameyang Arsenal, 32, M(CLR),FW",35(1),3139,0.9,0.4,0.4,-,0.4,1.1,-,-,7.03,22,3,2.6,0.7,0.6,0.6,0.9,1.6,3,0.7,22.7,72.2,0.6,0.3,-
6,"57Emiliano MartínezArsenal, 29, GK","Emiliano Martínez Arsenal, 29, GK",8(1),770,-,-,-,-,0.2,-,-,-,7.02,-,-,-,-,-,-,-,-,-,-,27.2,67.3,-,3.7,-
7,"58João MoutinhoWolves, 35, M(C)","João Moutinho Wolves, 35, M(C)",34(4),3108,2.4,1.3,1.1,-,0.5,2.4,0.3,-,7.01,1,6,0.6,2,0.7,0.1,0.6,0.5,6,2,48.4,85.5,1.8,4.0,0.1
8,"59Declan RiceWest Ham, 23, D(C),DMC","Declan Rice West Ham, 23, D(C),DMC",38,3420,3.1,2,1.1,-,1.3,1.3,0.2,-,7.01,1,3,0.8,0.6,0.2,0.1,0.6,0.7,3,0.6,45.6,86.0,0.3,3.4,-
9,"60Nemanja MaticMan Utd, 33, DMC","Nemanja Matic Man Utd, 33, DMC",18(3),1613,2.2,1,1.3,-,1.2,1.1,0.4,-,7.0,-,2,0.3,0.7,0.9,-,0.8,0.9,2,0.7,60.2,87.0,0.1,2.2,-
0,"41Harry MaguireMan Utd, 29, D(C)","Harry Maguire Man Utd, 29, D(C)",38,3450,1.0,1.9,0.9,0.4,4.1,0.4,0.6,-,7.12,1,1,0.8,0.4,0.6,0.2,0.2,0.3,1,0.4,66.3,86.7,-,4.4,-
1,"42Danny IngsSouthampton, 29, AM(C),FW","Danny Ings Southampton, 29, AM(C),FW",32(6),2815,1.1,0.2,0.9,-,0.6,1.4,0.1,-,7.12,22,2,2.4,0.9,0.7,0.3,1.3,1.8,2,0.9,16.9,62.7,0.2,0.5,-
2,"43Andrew RobertsonLiverpool, 28, D(L),M(L)","Andrew Robertson Liverpool, 28, D(L),M(L)",34(2),3114,1.5,1.1,0.5,0.5,1.6,0.9,0.2,-,7.11,2,12,0.6,1.7,0.4,0.1,0.3,1.4,12,1.7,69.2,83.7,1.1,2.3,-
3,"44Dejan LovrenLiverpool, 32, D(C)","Dejan Lovren Liverpool, 32, D(C)",9(1),777,1.3,1.0,0.4,1.7,4.1,0.5,0.6,-,7.09,-,1,0.5,0.1,0.8,-,-,0.1,1,0.1,68.0,83.2,-,2.8,0.1
4,"45RodriMan City, 25, DMC","Rodri Man City, 25, DMC",29(6),2488,1.4,0.7,1.2,0.1,0.9,1.1,0.1,-,7.09,3,2,0.7,1.0,0.9,-,0.8,0.6,2,1.0,73.7,92.9,0.1,4.9,0.1
5,"46Sébastien HallerWest Ham, 27, FW","Sébastien Haller West Ham, 27, FW",24(8),2263,0.7,0.3,1.4,-,0.8,0.8,0.2,-,7.08,7,1,1.8,0.8,1.2,0.6,1.1,1.9,1,0.8,24.0,65.8,-,0.4,-
6,"47Emiliano BuendíaNorwich, 25, M(CLR)","Emiliano Buendía Norwich, 25, M(CLR)",28(8),2465,2.3,0.6,1.0,-,0.7,2.2,0.1,-,7.08,1,7,1.1,2.3,1.5,0.1,2.2,2.3,7,2.3,39.1,80.0,1.1,2.5,0.3
7,"48Luke ThomasLeicester, 20, D(L),M(L)","Luke Thomas Leicester, 20, D(L),M(L)",3,268,0.3,1.0,0.3,1.3,2.3,1.0,-,-,7.07,-,1,-,3.3,1.0,-,1,2.3,1,3.3,51.0,77.8,3,2.0,-
8,"49Nicolas PépéArsenal, 26, AM(LR),FW","Nicolas Pépé Arsenal, 26, AM(LR),FW",22(9),2016,1.0,0.3,0.5,-,0.1,0.3,0.1,-,7.06,5,6,1.6,1.3,1.2,0.1,1.7,2.0,6,1.3,22.8,81.4,0.9,0.5,0.1
9,"50Serge AurierTottenham, 29, D(CLR),M(R)","Serge Aurier Tottenham, 29, D(CLR),M(R)",31(2),2706,2.8,1.4,1.2,0.2,2.5,0.9,0.2,1,7.06,1,5,0.4,1.0,0.7,0.2,0.8,1.6,5,1.0,38.8,79.1,0.6,1.0,-
0,"31James TarkowskiBurnley, 29, D(C)","James Tarkowski Burnley, 29, D(C)",38,3420,1.7,1.7,1.3,0.4,5.3,0.6,1.2,-,7.19,2,2,0.6,0.4,0.8,0.1,0.1,0.4,2,0.4,35.5,70.8,-,2.8,-
1,"32Paul PogbaMan Utd, 29, M(CL)","Paul Pogba Man Utd, 29, M(CL)",13(3),1205,1.3,0.4,1.6,-,0.6,0.5,0.3,-,7.18,1,3,1.4,1.9,1.1,0.1,2.0,1.2,3,1.9,64.6,85.5,0.1,5.9,0.4
2,"33Christian PulisicChelsea, 23, M(CLR),FW","Christian Pulisic Chelsea, 23, M(CLR),FW",19(6),1727,0.9,0.2,0.6,-,0.3,0.7,-,-,7.18,9,4,2.5,1.2,1.2,0.1,2.5,2.1,4,1.2,26.7,79.9,0.2,0.8,-
3,"34Sergio AgüeroMan City, 33, AM(CL),FW","Sergio Agüero Man City, 33, AM(CL),FW",18(6),1460,0.3,0.1,0.4,-,0.1,0.3,-,-,7.16,16,3,3.2,0.8,0.4,0.3,1.3,1.4,3,0.8,14.8,80.5,-,-,-
4,"35Lucas DigneEverton, 28, D(CL),M(L)","Lucas Digne Everton, 28, D(CL),M(L)",35,3035,2.1,1.2,1.2,0.2,2.7,1.0,0.3,1,7.16,-,7,0.8,2.1,0.8,0.1,0.7,0.8,7,2.1,39.3,74.2,2.1,1.8,0.1
5,"36James Ward-ProwseSouthampton, 27, M(CR)","James Ward-Prowse Southampton, 27, M(CR)",38,3420,2.4,1.6,1.5,0.1,1.9,1.4,0.4,-,7.15,5,3,1.5,1.6,1.1,-,0.6,0.7,3,1.6,43.8,80.9,1.5,2.1,-
6,"37Jordan HendersonLiverpool, 31, D(C),M(CLR)","Jordan Henderson Liverpool, 31, D(C),M(CLR)",26(4),2244,2.1,1.0,1.0,0.1,0.6,1.1,0.1,-,7.15,4,5,0.7,0.9,0.4,-,0.2,0.8,5,0.9,61.9,84.5,0.3,4.2,0.1
7,"38Tomas SoucekWest Ham, 27, DMC","Tomas Soucek West Ham, 27, DMC",12(1),1041,2.2,1.7,0.8,-,2.6,1.0,0.1,1,7.14,3,-,1.5,0.4,0.7,-,0.1,0.8,-,0.4,30.3,70.1,-,1.2,-
8,"39Roberto FirminoLiverpool, 30, M(CLR),FW","Roberto Firmino Liverpool, 30, M(CLR),FW",34(4),3003,1.0,0.2,0.8,0.1,0.3,0.9,0.1,-,7.14,9,8,2.6,1.4,0.4,0.2,1.0,2.4,8,1.4,30.6,79.6,0.1,0.7,-
9,"40César AzpilicuetaChelsea, 32, D(CLR),M(R)","César Azpilicueta Chelsea, 32, D(CLR),M(R)",36,3230,2.4,1.9,1.1,0.1,2.3,0.9,0.6,-,7.12,2,6,0.8,1.3,0.4,0.1,0.4,0.8,6,1.3,67.6,80.7,0.8,2.2,-
0,"21Raúl JiménezWolves, 31, FW","Raúl Jiménez Wolves, 31, FW",37(1),3252,0.5,0.4,1.0,-,0.8,0.7,-,-,7.25,17,6,3.1,1.3,0.9,0.5,1.8,2.9,6,1.3,26.1,72.2,0.1,1.2,0.1
1,"22Son Heung-MinTottenham, 29, M(CLR),FW","Son Heung-Min Tottenham, 29, M(CLR),FW",28(2),2487,0.8,0.6,0.6,-,0.6,1.6,-,-,7.24,11,10,2.7,1.4,0.9,0.6,1.9,2.2,10,1.4,26.6,84.7,0.4,0.7,0.2
2,"23Jack GrealishAston Villa, 26, AM(CL),FW","Jack Grealish Aston Villa, 26, AM(CL),FW",36,3234,0.8,0.6,0.9,-,0.3,0.6,0.3,-,7.23,8,6,2.0,2.5,4.6,0.1,1.6,1.9,6,2.5,38.1,84.8,0.8,2.3,0.1
3,"24Wilfred NdidiLeicester, 25, D(C),DMC","Wilfred Ndidi Leicester, 25, D(C),DMC",29(3),2674,4.0,2.5,1.8,-,1.9,1.4,0.2,-,7.23,2,1,0.8,0.5,0.8,-,0.8,1.0,1,0.5,52.2,85.1,-,2.5,-
4,"25Jamie VardyLeicester, 35, AM(L),FW","Jamie Vardy Leicester, 35, AM(L),FW",34(1),3034,0.4,0.1,0.6,-,0.6,0.1,0.1,-,7.22,23,5,2.5,0.9,0.3,0.8,0.5,1.5,5,0.9,12.6,70.6,0.2,0.2,-
5,"26João CanceloMan City, 27, D(LR),M(R)","João Cancelo Man City, 27, D(LR),M(R)",13(4),1206,2.4,1.2,1.0,0.1,0.9,0.9,0.1,-,7.21,-,-,0.9,1.0,0.5,-,0.5,0.9,-,1.0,59.4,90.4,0.4,2.2,-
6,"27Trent Alexander-ArnoldLiverpool, 23, D(R),M(R)","Trent Alexander-Arnold Liverpool, 23, D(R),M(R)",35(3),3176,1.4,1.2,0.6,0.5,1.8,1.1,0.2,-,7.2,4,13,1.2,2.3,0.2,0.1,0.3,1.2,13,2.3,64.2,76.7,2.1,5.1,-
7,"28Aaron Wan-BissakaMan Utd, 24, D(R),M(R)","Aaron Wan-Bissaka Man Utd, 24, D(R),M(R)",34(1),3102,3.7,1.9,0.6,0.4,1.7,0.6,0.4,-,7.19,-,4,0.2,0.7,0.5,-,1.3,1.0,4,0.7,47.1,81.3,0.4,1.0,-
8,"29RicharlisonEverton, 25, AM(CLR),FW","Richarlison Everton, 25, AM(CLR),FW",36,3111,1.9,0.3,1.2,-,1.1,0.8,0.1,-,7.19,13,3,2.5,0.9,2.0,0.5,2.1,2.6,3,0.9,21.9,66.6,0.1,0.6,-
9,"30Willy BolyWolves, 31, D(C)","Willy Boly Wolves, 31, D(C)",22,1980,2.6,1.8,1.1,0.1,4.7,0.8,0.5,-,7.19,-,1,0.2,0.3,0.4,-,0.2,0.5,1,0.3,44.7,80.9,-,1.8,-
0,"11Harry KaneTottenham, 28, AM(C),FW","Harry Kane Tottenham, 28, AM(C),FW",29,2590,0.6,0.2,1.3,-,1.0,0.4,0.2,-,7.33,18,2,2.8,0.9,1.5,0.7,1.1,2.3,2,0.9,19.1,66.7,0.1,0.8,0.2
1,"12Virgil van DijkLiverpool, 30, D(C)","Virgil van Dijk Liverpool, 30, D(C)",38,3420,0.6,1.1,0.4,1,4.3,0.2,0.4,-,7.32,5,1,0.8,0.2,0.7,-,0.1,0.1,1,0.2,85.8,89.1,-,5.4,0.1
2,"13Anthony MartialMan Utd, 26, AM(LR),FW","Anthony Martial Man Utd, 26, AM(LR),FW",31(1),2640,0.5,0.2,0.9,-,0.5,0.5,-,-,7.31,17,6,2.5,0.9,1.3,0.4,1.9,2.3,6,0.9,22.3,80.6,0.1,0.3,0.1
3,"14WillianChelsea, 33, AM(CLR)","Willian Chelsea, 33, AM(CLR)",29(7),2605,1.3,0.6,0.5,-,0.2,0.8,-,-,7.31,9,7,2.0,2.1,1.3,0.1,0.8,1.7,7,2.1,39.9,82.7,1.4,1.8,0.1
4,"15Marcos AlonsoChelsea, 31, D(CL),M(L)","Marcos Alonso Chelsea, 31, D(CL),M(L)",15(3),1433,1.6,1.1,0.9,0.2,1.4,1.1,0.1,-,7.3,4,2,1.7,1.4,0.8,0.1,0.6,1.8,2,1.4,50.4,82.6,1.1,1.4,0.1
5,"16Michail AntonioWest Ham, 32, D(R),M(CLR),FW","Michail Antonio West Ham, 32, D(R),M(CLR),FW",19(5),1773,0.5,0.4,1.7,-,0.2,0.4,0.1,-,7.29,10,3,2.8,1.1,1.5,0.5,1.9,3.0,3,1.1,18.6,68.4,0.4,0.4,0.1
6,"17Allan Saint-MaximinNewcastle, 25, AM(CLR),FW","Allan Saint-Maximin Newcastle, 25, AM(CLR),FW",23(3),1874,0.5,0.3,0.7,-,0.2,0.5,0.1,-,7.29,3,4,1.8,1.3,1.8,0.1,2.0,2.8,4,1.3,16.6,79.1,0.3,0.8,-
7,"18Joel MatipLiverpool, 30, D(C)","Joel Matip Liverpool, 30, D(C)",8(1),704,1.4,1.3,0.8,1,4.1,0.8,0.4,-,7.29,1,-,0.4,0.1,0.7,-,0.2,0.3,-,0.1,61.4,84.3,-,2.9,-
8,"19David SilvaMan City, 36, M(CLR),FW","David Silva Man City, 36, M(CLR),FW",22(5),1833,1.0,0.5,0.7,-,0.2,0.7,0.1,-,7.29,6,10,1.7,1.8,0.7,0.1,0.7,1.3,10,1.8,54.9,89.3,0.1,1.1,0.1
9,"20Gabriel JesusMan City, 25, AM(LR),FW","Gabriel Jesus Man City, 25, AM(LR),FW",21(13),2026,0.5,0.3,0.8,-,0.2,0.5,-,-,7.26,14,7,3.0,0.9,0.9,0.6,1.0,1.4,7,0.9,17.9,86.5,0.1,0.6,-
0,"1Kevin De BruyneMan City, 30, M(CLR),FW","Kevin De Bruyne Man City, 30, M(CLR),FW",32(3),2800,1.3,0.5,0.7,-,0.7,1.4,0.1,-,7.97,13,20,2.8,3.9,0.8,0.1,0.9,1.3,20,3.9,54.5,81.5,2.1,3.5,0.4
1,"2Bruno FernandesMan Utd, 27, M(CLR)","Bruno Fernandes Man Utd, 27, M(CLR)",14,1223,1.6,0.8,0.6,-,1.0,2.4,-,-,7.73,8,7,3.1,2.1,1.0,0.1,0.9,2.1,7,2.1,55.5,75.7,1.0,3.3,0.3
2,"3Ricardo PereiraLeicester, 28, D(LR),M(R)","Ricardo Pereira Leicester, 28, D(LR),M(R)",28,2520,4.3,1.8,1.6,0.3,2.6,1.9,0.2,-,7.5,3,2,0.6,1.0,1.3,-,1.1,1.6,2,1.0,56.1,78.9,0.3,2.1,0.1
3,"4Adama TraoréWolves, 26, M(CLR),FW","Adama Traoré Wolves, 26, M(CLR),FW",27(10),2608,0.9,0.4,1.1,-,0.4,0.4,0.1,-,7.49,4,9,1.2,1.3,2.1,0.2,1.8,2.4,9,1.3,19.2,74.4,1.2,0.2,0.1
4,"5Riyad MahrezMan City, 31, AM(CLR),FW","Riyad Mahrez Man City, 31, AM(CLR),FW",21(12),1942,0.8,0.5,0.4,-,0.2,0.8,-,-,7.48,11,9,2.2,1.8,0.9,0.4,1.0,1.4,9,1.8,33.2,90.1,0.6,1.7,0.2
5,"6Sadio ManéLiverpool, 30, AM(CLR),FW","Sadio Mané Liverpool, 30, AM(CLR),FW",31(4),2756,1.3,0.4,1.3,-,0.2,0.8,-,-,7.45,18,7,2.2,1.7,1.5,0.4,1.6,2.9,7,1.7,31.5,81.6,0.3,1.0,0.1
6,"7Mohamed SalahLiverpool, 29, AM(CLR),FW","Mohamed Salah Liverpool, 29, AM(CLR),FW",33(1),2888,0.5,0.2,0.5,-,0.1,0.5,-,-,7.4,19,10,3.9,1.8,0.5,0.6,2.0,2.6,10,1.8,28.8,76.5,0.3,0.4,0.1
7,"8Raheem SterlingMan City, 27, M(CLR),FW","Raheem Sterling Man City, 27, M(CLR),FW",30(3),2661,0.8,0.5,0.9,-,0.1,0.7,0.1,-,7.35,20,1,3.0,1.5,1.2,0.4,1.8,2.0,1,1.5,35.4,82.8,0.2,0.3,0.1
8,"9Marcus RashfordMan Utd, 24, AM(CLR),FW","Marcus Rashford Man Utd, 24, AM(CLR),FW",31,2655,0.4,0.3,0.7,-,0.5,0.5,-,-,7.35,17,7,3.1,1.1,1.5,0.4,1.1,2.1,7,1.1,30.4,77.3,0.3,1.2,0.2
9,"10James MaddisonLeicester, 25, AM(CLR)","James Maddison Leicester, 25, AM(CLR)",29(2),2629,1.9,0.3,1.2,-,0.2,1.5,-,-,7.34,6,3,2.4,2.5,2.8,0.1,0.9,1.8,3,2.5,47.5,83.0,1.9,2.3,0.2
